product,vendor,edition,morefields
anti-spam_smtp_proxy,anti-spam_smtp_proxy_project,*,*
anti-virus,kaspersky,*,free
anti-virus,totaldefense,*,*
anti-virus,avg,*,free
anti-virus,avg,*,*
anti-virus,escanav,*,*
anti-virus,kaspersky,*,*
anti-virus_engine,symantec,*,*
anti-virus_for_linux_server,kaspersky,*,*
anti-virus_for_sophos_central,sophos,*,*
anti-virus_for_sophos_home,sophos,*,*
anti-virus_plus,mcafee,*,*
anti.virus,ikarussecurity,*,*
anti_virus,maxpcsecure,*,*
anti_virus_lab_atool,antiy,*,*
anti_virus_plus,maxpcsecure,*,*
antidote,druide,*,*
antilogger,zemana,*,*
antimalware,malwarefox,*,*
antimalware,stopzilla,*,*
antimalware,zemana,*,*
antimalware,malwarebytes,*,*
antimalware_software_development_kit,bitdefender,*,*
antioch,para,*,*
antisamy,antisamy_project,*,*
antitrack,avast,*,*
antivir_mailgate,avira,*,*
antivir_mailgate_suite,avira,*,*
antivir_personal,avira,*,*
antivir_sharepoint,avira,*,*
antivir_webgate,avira,*,*
antivir_webgate_suite,avira,*,*
antivirus,k7computing,*,*
antivirus,avast,*,*
antivirus,comodo,*,*
antivirus,k7computing,*,plus
antivirus,trendmicro,*,*
antivirus,jiangmin,*,*
antivirus,bitdefender,*,*
antivirus,avira,*,*
antivirus,k7computing,*,premium
antivirus,pcprotect,*,*
antivirus\+,trendmicro,*,*
antivirus_2020,bitdefender,*,free
antivirus_and_antispyware,eset,*,*
antivirus_engine,symantec,*,*
antivirus_engine,kaspersky,*,*
antivirus_engine,antiy,*,*
antivirus_essential,synology,*,*
antivirus_for_linux,avast,*,*
antivirus_for_mac_2017,trendmicro,*,*
antivirus_for_mac_2018,trendmicro,*,*
antivirus_for_mac_2019,trendmicro,*,*
antivirus_for_server,quickheal,*,*
antivirus_plus,bitdefender,*,*
antivirus_pro,quickheal,*,*
antivirus_pro,avast,*,*
antivirus_pro_plus,avast,*,*
antivirus_server,avira,*,*
antivrius,k7computing,*,premium
antiweb,hoytech,*,*
antiy_zhijia_terminal_defense_system,antiy,*,*
antman,antsle,*,*
antsword,antsword_project,*,*
any_hostname,any_hostname_project,*,*
any23,apache,*,*
anycomment,bologer,*,*
anyconnect_secure_mobility_client,cisco,*,*
anydana-a,sooil,*,*
anydana-i,sooil,*,*
anydesk,anydesk,*,*
anymap,anymap_project,*,*
anyoffice,huawei,*,*
anyoffice_secureapp,huawei,*,*
anyplace,anyplace_project,*,*
anyshare_cloud,aishu,*,*
anyvar,anyvar_project,*,*
anyview,amoisoft,*,*
aoiro_shinkoku,yayoi-kk,*,*
aomedia,aomedia,*,*
aorus_graphics_engine,gigabyte,*,*
aovec,aovec_project,*,*
apache_authenhook,apache_authenhook_project,*,*
apache2triad,apache2triad,*,*
apartment_visitors_management_system,apartment_visitors_management_system_project,*,*
